iter	Passed	Remaining
455	851	1015
456	853	1014
457	855	1012
458	856	1010
459	858	1007
460	859	1005
461	861	1003
462	863	1001
463	866	1001
464	869	1000
465	870	998
466	872	995
467	874	993
468	876	992
469	878	990
470	879	988
471	881	986
472	883	984
473	885	982
474	887	980
475	888	978
476	890	976
477	892	974
478	893	971
479	894	969
480	896	967
481	897	965
482	899	962
483	900	960
484	902	958
485	903	955
486	905	953
487	906	951
488	908	949
489	909	946
490	911	944
491	914	943
492	915	941
493	917	939
494	919	937
495	920	935
496	922	933
497	923	931
498	925	928
499	926	926
500	928	924
501	929	922
502	931	919
503	932	917
504	934	915
505	935	913
506	937	911
507	938	909
508	940	906
509	941	904
510	943	902
511	944	900
512	946	898
513	947	895
514	949	893
515	950	891
516	952	889
517	953	887
518	955	885
519	956	883
520	958	881
521	959	878
522	961	876
523	962	874
524	964	872
525	965	870
526	967	868
527	968	866
528	970	863
529	971	861
530	973	859
531	974	857
532	976	855
533	977	853
534	979	851
535	981	849
536	982	847
537	984	845
538	985	842
539	987	840
540	988	838
541	990	836
542	991	834
543	993	832
544	994	830
545	996	828
546	997	826
547	999	824
548	1000	821
549	1002	819
550	1003	817
551	1005	815
552	1007	814
553	1009	812
554	1010	810
555	1012	808
556	1013	806
557	1015	804
558	1016	802
559	1018	800
560	1019	797
561	1021	795
562	1022	793
563	1024	791
564	1025	789
565	1027	787
566	1028	785
567	1030	783
568	1031	781
569	1033	779
570	1034	777
571	1036	775
572	1037	773
573	1039	771
574	1040	769
575	1042	767
576	1043	765
577	1045	763
578	1046	761
579	1048	759
580	1049	757
581	1051	755
582	1052	753
583	1054	751
584	1055	749
585	1057	746
586	1058	744
587	1060	742
588	1061	740
589	1063	738
590	1064	736
591	1066	735
592	1068	733
593	1069	731
594	1071	729
595	1072	727
596	1074	725
597	1075	723
598	1077	721
599	1078	719
600	1080	717
601	1081	715
602	1083	713
603	1084	711
604	1086	709
605	1087	707
606	1089	705
607	1090	703
608	1092	701
609	1093	699
610	1095	697
611	1096	695
612	1097	693
613	1099	691
614	1100	689
615	1102	687
616	1104	685
617	1105	683
618	1107	681
619	1108	679
620	1109	677
621	1111	675
622	1113	673
623	1114	671
624	1115	669
625	1117	667
626	1119	666
627	1121	664
628	1123	662
629	1124	660
630	1126	658
631	1127	656
632	1129	654
633	1130	652
634	1132	650
635	1133	648
636	1135	646
637	1136	644
638	1138	642
639	1139	641
640	1141	639
641	1142	637
642	1144	635
643	1145	633
644	1147	631
645	1148	629
646	1150	627
647	1151	625
648	1153	623
649	1154	621
650	1156	619
651	1157	617
652	1159	615
653	1161	614
654	1163	612
655	1165	611
656	1167	609
657	1168	607
658	1170	605
659	1172	604
660	1174	602
661	1176	600
662	1177	598
663	1179	597
664	1181	595
665	1182	593
666	1184	591
667	1186	589
668	1187	587
669	1189	585
670	1190	583
671	1192	581
672	1193	579
673	1195	578
674	1196	576
675	1198	574
676	1199	572
677	1201	570
678	1202	568
679	1204	566
680	1205	564
681	1207	562
682	1208	560
683	1210	559
684	1211	557
685	1213	555
686	1214	553
687	1216	551
688	1217	549
689	1219	547
690	1220	545
691	1221	543
692	1223	542
693	1227	541
694	1229	539
695	1230	537
696	1232	535
697	1234	534
698	1235	532
699	1237	530
700	1238	528
701	1240	526
702	1241	524
703	1243	522
704	1244	520
705	1246	519
706	1247	517
707	1249	515
708	1250	513
709	1252	511
710	1254	509
711	1256	508
712	1257	506
713	1259	504
714	1261	502
715	1262	500
716	1264	498
717	1265	497
718	1267	495
719	1269	493
720	1270	491
721	1272	489
722	1274	488
723	1275	486
724	1277	484
725	1278	482
726	1280	480
727	1281	478
728	1283	477
729	1284	475
730	1286	473
731	1287	471
732	1289	469
733	1290	467
734	1292	465
735	1293	464
736	1295	462
737	1297	460
738	1298	458
739	1299	456
740	1301	454
741	1303	453
742	1305	451
743	1306	449
744	1308	447
745	1310	446
746	1311	444
747	1313	442
748	1314	440
749	1316	438
750	1317	436
751	1319	435
752	1320	433
753	1322	431
754	1323	429
755	1325	427
756	1326	425
757	1328	424
758	1329	422
759	1331	420
760	1333	418
761	1335	416
762	1337	415
763	1338	413
764	1340	411
765	1341	409
766	1342	407
767	1344	406
768	1345	404
769	1347	402
770	1348	400
771	1350	398
772	1351	396
773	1353	395
774	1354	393
775	1356	391
776	1357	389
777	1359	387
778	1360	386
779	1362	384
780	1363	382
781	1365	380
782	1366	378
783	1368	376
784	1369	375
785	1371	373
786	1372	371
787	1374	369
788	1376	368
789	1377	366
790	1379	364
791	1380	362
792	1382	360
793	1383	358
794	1385	357
795	1386	355
796	1388	353
797	1389	351
798	1391	349
799	1392	348
800	1394	346
801	1395	344
802	1397	342
803	1399	341
804	1400	339
805	1402	337
806	1403	335
807	1405	333
808	1406	332
809	1408	330
810	1409	328
811	1411	326
812	1412	324
813	1414	323
814	1415	321
815	1417	319
816	1418	317
817	1420	315
818	1421	314
819	1423	312
820	1424	310
821	1426	308
822	1427	307
823	1429	305
824	1430	303
825	1432	301
826	1433	299
827	1435	298
828	1436	296
829	1438	294
830	1439	292
831	1441	291
832	1443	289
833	1444	287
834	1446	285
835	1447	283
836	1449	282
837	1450	280
838	1452	278
839	1453	276
840	1454	275
841	1456	273
842	1457	271
843	1459	269
844	1460	267
845	1462	266
846	1463	264
847	1465	262
848	1466	260
849	1468	259
850	1469	257
851	1471	255
852	1472	253
853	1474	252
854	1475	250
855	1477	248
856	1478	246
857	1480	244
858	1481	243
859	1485	241
860	1486	240
861	1488	238
862	1489	236
863	1491	234
864	1492	232
865	1494	231
866	1495	229
867	1497	227
868	1498	225
869	1500	224
870	1501	222
871	1503	220
872	1504	218
873	1506	217
874	1507	215
875	1509	213
876	1510	211
877	1512	210
878	1513	208
879	1515	206
880	1516	204
881	1517	203
882	1519	201
883	1520	199
884	1522	197
885	1523	196
886	1525	194
887	1526	192
888	1528	190
889	1529	189
890	1531	187
891	1532	185
892	1534	183
893	1535	182
894	1537	180
895	1538	178
896	1540	176
897	1541	175
898	1543	173
899	1544	171
900	1546	169
901	1547	168
902	1549	166
903	1550	164
904	1552	162
905	1554	161
906	1555	159
907	1557	157
908	1558	156
909	1560	154
910	1561	152
911	1563	150
912	1564	149
913	1566	147
914	1567	145
915	1569	143
916	1570	142
917	1572	140
918	1573	138
919	1575	136
920	1576	135
921	1578	133
922	1579	131
923	1581	130
924	1582	128
925	1584	126
926	1585	124
927	1587	123
928	1588	121
929	1590	119
930	1592	118
931	1593	116
932	1595	114
933	1596	112
934	1598	111
935	1599	109
936	1601	107
937	1602	105
938	1604	104
939	1605	102
940	1607	100
941	1608	99
942	1610	97
943	1612	95
944	1614	93
945	1616	92
946	1618	90
947	1620	88
948	1622	87
949	1626	85
950	1629	83
951	1631	82
952	1635	80
953	1637	78
954	1640	77
955	1644	75
956	1646	73
957	1647	72
958	1649	70
959	1650	68
960	1652	67
961	1653	65
962	1654	63
963	1656	61
964	1657	60
965	1660	58
966	1662	56
967	1664	55
968	1666	53
969	1668	51
970	1669	49
971	1670	48
972	1672	46
973	1673	44
974	1675	42
975	1677	41
976	1678	39
977	1680	37
978	1681	36
979	1683	34
980	1684	32
981	1686	30
982	1688	29
983	1690	27
984	1692	25
985	1693	24
986	1695	22
987	1696	20
988	1698	18
989	1699	17
990	1701	15
991	1702	13
992	1704	12
993	1705	10
994	1707	8
995	1710	6
996	1711	5
997	1713	3
998	1714	1
999	1716	0
