iter	Logloss
0	0.6877055396
1	0.6831615362
2	0.6788397211
3	0.6735706413
4	0.6688007845
5	0.6650321657
6	0.6605594656
7	0.655707116
8	0.6513152805
9	0.6473436669
10	0.6431942805
11	0.6386046769
12	0.6352156718
13	0.6319145926
14	0.6279246537
15	0.6241557864
16	0.6212411715
17	0.6162294019
18	0.612279369
19	0.6093295788
20	0.6057421716
21	0.6021852684
22	0.598422846
23	0.5953145362
24	0.5915799566
25	0.5880734405
26	0.58511487
27	0.5823867402
28	0.5792739875
29	0.5764113501
30	0.5737161259
31	0.5710555369
32	0.568999682
33	0.5662089489
34	0.5635546108
35	0.5612534552
36	0.5594234956
37	0.557315563
38	0.5548113267
39	0.5520381062
40	0.5499062437
41	0.5477846147
42	0.5453970016
43	0.5432940469
44	0.5403590053
45	0.5380950978
46	0.5361108695
47	0.5334183222
48	0.5314925951
49	0.5287161048
50	0.5267686515
51	0.5243516539
52	0.5220446048
53	0.5197433303
54	0.5181146718
55	0.5159829399
56	0.5137092586
57	0.5115495138
58	0.5101331278
59	0.5085187834
60	0.5067844934
61	0.5049045661
62	0.5032960932
63	0.5018572866
64	0.4996582113
65	0.4978773336
66	0.4960549755
67	0.4941321153
68	0.4925484971
69	0.4908192414
70	0.4888522526
71	0.4874753932
72	0.4858061132
73	0.4843787877
74	0.4830522034
75	0.481765095
76	0.4799617571
77	0.478345974
78	0.4772381352
79	0.4758081389
80	0.4741760524
81	0.4727485337
82	0.4712940615
83	0.4694178008
84	0.4676755565
85	0.4659738391
86	0.4643748279
87	0.463162887
88	0.4617578047
89	0.4599230147
90	0.459033507
91	0.4579063993
92	0.4568419505
93	0.4555656343
94	0.4541567634
95	0.4528101325
96	0.451676106
97	0.4506914596
98	0.4495159854
99	0.448226743
100	0.446838149
101	0.4457451347
102	0.4448649837
103	0.4436455484
104	0.4428739335
105	0.4414295678
106	0.4404418714
107	0.4392306819
108	0.4380779575
109	0.4369267879
110	0.4359500122
111	0.4348716145
112	0.4339190776
113	0.432639822
114	0.4316300388
115	0.4306586073
116	0.4299079925
117	0.4289669612
118	0.4278184824
119	0.4270522536
120	0.4262632292
121	0.4253675607
122	0.424455275
123	0.4234991508
124	0.4223583064
125	0.42137825
126	0.4206076495
127	0.4195922269
128	0.4186321333
129	0.4178476762
130	0.4170442612
131	0.4160088328
132	0.4153232949
133	0.4145685506
134	0.4136443044
135	0.412822374
136	0.4120384414
137	0.411123399
138	0.4102516741
139	0.4094961023
140	0.408590558
141	0.407823428
142	0.4071406009
143	0.4064946871
144	0.4056965937
145	0.4048457025
146	0.4040284861
147	0.4032205408
148	0.4024186526
149	0.401699404
150	0.4008390799
151	0.4002010203
152	0.3993801285
153	0.3985993043
154	0.3979939718
155	0.3971790415
156	0.39661104
157	0.3959442153
158	0.3951191718
159	0.3942968626
160	0.393978428
161	0.3933135291
162	0.3925465819
163	0.3919282934
164	0.3912640284
165	0.3906339231
166	0.3900832746
167	0.3892694075
168	0.3886820126
169	0.3879211678
170	0.3871064449
171	0.3864679888
172	0.3856838401
173	0.3848849304
174	0.3842004968
175	0.3839870994
176	0.3833898979
177	0.3828674758
178	0.3821278304
179	0.3814104747
180	0.3807025593
181	0.3800592392
182	0.3793732114
183	0.3789058899
184	0.3781521235
185	0.3773173173
186	0.3767200043
187	0.3761390123
188	0.3753625236
189	0.3748346221
190	0.374039773
191	0.3734325762
192	0.3728342187
193	0.3722560003
194	0.3717398364
195	0.3711915637
196	0.3705420327
197	0.3700398209
198	0.3694387236
199	0.3687416029
200	0.3681959055
201	0.3676072749
202	0.3670756223
203	0.3664045613
204	0.3659698712
205	0.3653652763
206	0.3647063301
207	0.3641920315
208	0.3637328669
209	0.3630398709
210	0.3623223447
211	0.3617778783
212	0.3612817861
213	0.3607928033
214	0.3602453745
215	0.3598664721
216	0.3592630782
217	0.3584720882
218	0.3577737482
219	0.3570693841
220	0.3566584182
221	0.3562487924
222	0.3558685214
223	0.3554790744
224	0.3549100605
225	0.3543019346
226	0.3537641674
227	0.353343148
228	0.3527159117
229	0.3523362599
230	0.3518694213
231	0.3513710601
232	0.3507536122
233	0.3503346084
234	0.3499045046
235	0.3494467881
236	0.3489850877
237	0.3484511957
238	0.3479058228
239	0.3475703125
240	0.3469826514
241	0.346471919
242	0.3460301425
243	0.345429041
244	0.345053955
245	0.3445851262
246	0.3439602868
247	0.3434717561
248	0.3431109661
249	0.3424310897
250	0.3419369031
251	0.3414218367
252	0.3409117129
253	0.3403174113
254	0.3399014036
255	0.3394240428
256	0.3387673037
257	0.3382392688
258	0.3378514395
259	0.3373285732
260	0.3368325458
261	0.336439704
262	0.3359331989
263	0.3356130485
264	0.3352532298
265	0.3349795307
266	0.334644387
267	0.334205695
268	0.3337450996
269	0.3333297211
270	0.3328147379
271	0.3322424105
272	0.3316652981
273	0.3312943067
274	0.3307666662
275	0.3301935151
276	0.3298058323
277	0.3295544348
278	0.3293567826
279	0.3289516315
280	0.3284384458
281	0.3279027729
282	0.3275188453
283	0.3271369515
284	0.3267475235
285	0.3262124187
286	0.3257780907
287	0.3253780311
288	0.3247505065
289	0.3244191125
290	0.3240842948
291	0.3237783105
292	0.3233843705
293	0.3229170024
294	0.3224947546
295	0.3220065296
296	0.3216587414
297	0.321135022
298	0.3207851078
299	0.3204377477
300	0.3198019099
301	0.3193597569
302	0.3190383624
303	0.3187228565
304	0.3181980569
305	0.3177778896
306	0.3174905808
307	0.3170841709
308	0.3167611906
309	0.3163969699
310	0.3159863466
311	0.3157050802
312	0.3152727154
313	0.3148945011
314	0.3145323382
315	0.3141757616
316	0.313976183
317	0.3137386508
318	0.3132884786
319	0.3126301266
320	0.3121946949
321	0.3118441007
322	0.3116345658
323	0.311310042
324	0.3109570712
325	0.3105212607
326	0.310189354
327	0.3098325781
328	0.3094303084
329	0.3089767393
330	0.3086413509
331	0.3082895868
332	0.3077529681
333	0.3073765508
334	0.307018738
335	0.3067125897
336	0.3062125638
337	0.3060539001
338	0.3055912704
339	0.3052560803
340	0.3048109798
341	0.3044161803
342	0.304080041
343	0.3036902579
344	0.3034301869
345	0.3030498568
346	0.3027514343
347	0.3023748084
348	0.3020691824
349	0.3017754025
350	0.3013172436
351	0.3008546127
352	0.3005314136
353	0.3002899944
354	0.299872427
355	0.2998028026
356	0.2995871236
357	0.2992169089
358	0.2988691348
359	0.2985211564
360	0.2982288258
361	0.2980057767
362	0.2976576455
363	0.2973180471
364	0.2970015157
365	0.2966474044
366	0.2962748869
367	0.2958753983
368	0.2954728065
369	0.295003283
370	0.29469694
371	0.2944019904
372	0.2941607724
373	0.2938208807
374	0.2936072418
375	0.2932371359
376	0.292858401
377	0.2925603383
378	0.2922624673
379	0.2919059008
380	0.2916922327
381	0.291445929
382	0.2911913531
383	0.2908223068
384	0.2905461197
385	0.2902673362
386	0.2900628895
387	0.2897352432
388	0.2894387103
389	0.2890280446
390	0.2887064688
391	0.288503238
392	0.2881717523
393	0.2879079083
394	0.2874072959
395	0.2869669604
396	0.286527288
397	0.2861988704
398	0.2858204717
399	0.2856890777
400	0.2853394592
401	0.2848305436
402	0.2845405427
403	0.2842611163
404	0.2840617987
405	0.2837600431
406	0.2834384912
407	0.2830815825
408	0.2825724174
409	0.2823515096
410	0.2821267909
411	0.2818248206
